position_number,position_description,name,dob,nationality,value
5,Defensive Midfield,Nemanja Radoja,"Feb 6, 1993 (27)",Serbia,£2.88m
-,Defensive Midfield,Mickaël Malsa,"Oct 12, 1995 (24)",Martinique / France,£2.25m
17,Defensive Midfield,Nikola Vukcevic,"Dec 13, 1991 (28)",Montenegro,£2.16m
-,Defensive Midfield,Pepelu,"Aug 11, 1998 (22)",Spain,£1.35m
-,Defensive Midfield,Cheick Doukouré,"Sep 11, 1992 (27)",Cote d'Ivoire / France,£585Th.
10,Central Midfield,Enis Bardhi,"Jul 2, 1995 (25)",North Macedonia,£18.00m
24,Central Midfield,José Campaña,"May 31, 1993 (27)",Spain,£18.00m
22,Central Midfield,Gonzalo Melero,"Jan 2, 1994 (26)",Spain,£2.88m
16,Attacking Midfield,Rubén Rochina,"Mar 23, 1991 (29)",Spain,£2.88m
-,Attacking Midfield,Arturo Molina,"Jul 18, 1996 (24)",Spain,£225Th.
-,Right Winger,Jorge de Frutos,"Feb 20, 1997 (23)",Spain,£1.80m
8,Right Winger,Hernâni,"Aug 20, 1991 (29)",Portugal / Cape Verde,£1.80m
9,Centre-Forward,Roger Martí,"Jan 3, 1991 (29)",Spain,£7.20m
11,Centre-Forward,José Luis Morales,"Jul 23, 1987 (33)",Spain,£5.85m
7,Centre-Forward,Sergio León,"Jan 6, 1989 (31)",Spain,£2.16m
-,Centre-Forward,Dani Gómez,"Jul 30, 1998 (22)",Spain,£810Th.
1,Goalkeeper,Fernando Pacheco,"May 18, 1992 (28)",Spain,£13.05m
-,Goalkeeper,Antonio Sivera,"Aug 11, 1996 (24)",Spain,£1.08m
5,Centre-Back,Víctor Laguardia,"Nov 5, 1989 (30)",Spain,£6.30m
23,Centre-Back,Ximo Navarro,"Jan 23, 1990 (30)",Spain,£1.80m
4,Centre-Back,Rodrigo Ely,"Nov 3, 1993 (26)",Brazil / Italy,£1.44m
-,Centre-Back,Tachi,"Sep 10, 1997 (22)",Spain,£720Th.
-,Centre-Back,Adrián Diéguez,"Feb 4, 1996 (24)",Spain,£428Th.
-,Centre-Back,Olivier Verdon,"Oct 5, 1995 (24)",Benin / France,£428Th.
3,Left-Back,Rubén Duarte,"Oct 18, 1995 (24)",Spain,£4.32m
-,Left-Back,Saúl García,"Nov 9, 1994 (25)",Spain,£653Th.
17,Left-Back,Adrián Marín,"Jan 9, 1997 (23)",Spain,£585Th.
-,Left-Back,Javi López,"Mar 25, 2002 (18)",Spain,£225Th.
21,Right-Back,Martín Aguirregabiria,"May 10, 1996 (24)",Spain,£4.32m
12,Right-Back,Rafa Navarro,"Feb 23, 1994 (26)",Spain,£360Th.
20,Defensive Midfield,Pere Pons,"Feb 20, 1993 (27)",Spain,£2.88m
19,Defensive Midfield,Manu García,"Apr 26, 1986 (34)",Spain,£1.26m
-,Defensive Midfield,Jeando Fuchs,"Oct 11, 1997 (22)",Cameroon / France,£1.08m
-,Central Midfield,Rodrigo Battaglia,"Jul 12, 1991 (29)",Argentina / Italy,£4.05m
8,Central Midfield,Tomás Pina,"Oct 14, 1987 (32)",Spain,£1.80m
35,Central Midfield,Ismael Gutiérrez,"Aug 7, 2000 (20)",Spain,£810Th.
-,Central Midfield,Javi Muñoz,"Feb 28, 1995 (25)",Spain,£293Th.
-,Attacking Midfield,Paulino de la Fuente,"Jun 27, 1997 (23)",Spain,£225Th.
29,Left Winger,Borja Sainz,"Feb 1, 2001 (19)",Spain,£2.25m
11,Left Winger,Luis Rioja,"Oct 16, 1993 (26)",Spain,£1.80m
-,Left Winger,Burgui,"Oct 29, 1993 (26)",Spain,£1.08m
-,Left Winger,José Luis Rodríguez,"Jun 19, 1998 (22)",Panama,£405Th.
-,Left Winger,Anderson Emanuel,"Apr 9, 1996 (24)",Angola / Portugal,£270Th.
-,Right Winger,Patrick Twumasi,"May 9, 1994 (26)",Ghana,£2.25m
16,Right Winger,Edgar Méndez,"Jan 2, 1990 (30)",Spain,£1.44m
7,Centre-Forward,Lucas Pérez,"Sep 10, 1988 (31)",Spain,£10.80m
9,Centre-Forward,Joselu,"Mar 27, 1990 (30)",Spain,£5.40m
-,Centre-Forward,Deyverson,"May 8, 1991 (29)",Brazil,£3.60m
10,Centre-Forward,John Guidetti,"Apr 15, 1992 (28)",Sweden,£1.44m
1,Goalkeeper,Rui Silva,"Feb 7, 1994 (26)",Portugal,£9.00m
13,Goalkeeper,Aarón Escandell,"Sep 27, 1995 (24)",Spain,£900Th.
22,Centre-Back,Domingos Duarte,"Mar 10, 1995 (25)",Portugal,£7.20m
20,Centre-Back,Jesús Vallejo,"Jan 5, 1997 (23)",Spain,£5.40m
6,Centre-Back,Germán Sánchez,"Oct 31, 1986 (33)",Spain,£720Th.
-,Centre-Back,Neyder Lozano,"Mar 4, 1994 (26)",Colombia,£428Th.
15,Left-Back,Carlos Neva,"Jun 12, 1996 (24)",Spain,£2.25m
3,Left-Back,Álex Martínez,"Aug 12, 1990 (30)",Spain,£653Th.
2,Right-Back,Dimitri Foulquier,"Mar 23, 1993 (27)",Guadeloupe / France,£1.80m
16,Right-Back,Víctor Díaz,"Jun 12, 1988 (32)",Spain,£1.80m
-,Right-Back,Quini,"Sep 24, 1989 (30)",Spain,£495Th.
4,Defensive Midfield,Maxime Gonalons,"Mar 10, 1989 (31)",France,£2.52m
12,Central Midfield,Ramon Azeez,"Dec 12, 1992 (27)",Nigeria,£2.25m
8,Central Midfield,Yan Brice,"Aug 26, 1997 (23)",Cameroon / Spain,£1.80m
19,Central Midfield,Ángel Montoro,"Jun 25, 1988 (32)",Spain,£1.08m
-,Central Midfield,Luis Milla,"Oct 7, 1994 (25)",Spain,£900Th.
14,Attacking Midfield,Fede Vico,"Jul 4, 1994 (26)",Spain,£1.08m
23,Left Winger,Darwin Machís,"Feb 7, 1993 (27)",Venezuela / Spain,£5.40m
10,Right Winger,Antonio Puertas,"Feb 21, 1992 (28)",Spain,£5.40m
-,Centre-Forward,Jorge Molina,"Apr 22, 1982 (38)",Spain,£1.44m
18,Centre-Forward,Antoñín,"Apr 16, 2000 (20)",Spain,£1.17m
9,Centre-Forward,Roberto Soldado,"May 27, 1985 (35)",Spain,£720Th.
1,Goalkeeper,Sergio Herrera,"Jun 5, 1993 (27)",Spain,£1.08m
13,Goalkeeper,Rubén Martínez,"Jun 22, 1984 (36)",Spain,£495Th.
25,Goalkeeper,Juan Pérez,"Jul 15, 1996 (24)",Spain,£360Th.
23,Centre-Back,Aridane Hernández,"Mar 23, 1989 (31)",Spain,£2.88m
5,Centre-Back,David García,"Feb 14, 1994 (26)",Spain,£2.16m
12,Centre-Back,Facundo Roncaglia,"Feb 10, 1987 (33)",Argentina / Italy,£1.26m
-,Centre-Back,Raúl Navas,"May 11, 1988 (32)",Spain,£1.08m
4,Centre-Back,Unai García,"Sep 3, 1992 (27)",Spain,£720Th.
2,Right-Back,Nacho Vidal,"Jan 24, 1995 (25)",Spain,£2.16m
24,Defensive Midfield,Lucas Torró,"Jul 19, 1994 (26)",Spain,£2.16m
6,Defensive Midfield,Oier,"May 25, 1986 (34)",Spain,£855Th.
27,Central Midfield,Jon Moncayola,"May 13, 1998 (22)",Spain,£2.43m
20,Central Midfield,Darko Brasanac,"Feb 12, 1992 (28)",Serbia,£1.44m
21,Central Midfield,Iñigo Pérez,"Jan 18, 1988 (32)",Spain,£428Th.
10,Attacking Midfield,Roberto Torres,"Mar 7, 1989 (31)",Spain,£7.20m
14,Attacking Midfield,Rubén García,"Jul 14, 1993 (27)",Spain,£5.40m
19,Right Winger,Kike Barja,"Apr 4, 1997 (23)",Spain,£720Th.
-,Right Winger,Juan Villar,"May 19, 1988 (32)",Spain,£585Th.
9,Centre-Forward,Chimy Ávila,"Feb 6, 1994 (26)",Argentina,£10.80m
22,Centre-Forward,Adrián López,"Jan 8, 1988 (32)",Spain,£1.26m
-,Centre-Forward,Brandon,"Feb 4, 1995 (25)",Spain,£1.08m
7,Centre-Forward,Marc Cardona,"Jul 8, 1995 (25)",Spain,£1.08m
11,Centre-Forward,Enric Gallego,"Sep 12, 1986 (33)",Spain,£1.08m
1,Goalkeeper,Jordi Masip,"Jan 3, 1989 (31)",Spain,£4.32m
-,Goalkeeper,Roberto,"Feb 10, 1986 (34)",Spain,£720Th.
5,Centre-Back,Javi Sánchez,"Mar 14, 1997 (23)",Spain,£2.70m
24,Centre-Back,Joaquín Fernández,"May 31, 1996 (24)",Spain,£2.16m
4,Centre-Back,Kiko Olivas,"Aug 21, 1988 (32)",Spain,£1.80m
-,Centre-Back,Bruno González,"May 24, 1990 (30)",Spain,£1.08m
22,Left-Back,Nacho Martínez,"Mar 7, 1989 (31)",Spain,£3.60m
-,Left-Back,Raúl Carnero,"Apr 30, 1989 (31)",Spain,£720Th.
-,Left-Back,Moisés Delgado,"Apr 18, 1994 (26)",Spain,£360Th.
18,Right-Back,Antoñito,"Dec 24, 1987 (32)",Spain,£720Th.
-,Right-Back,Luis Pérez,"Feb 4, 1995 (25)",Spain,£585Th.
17,Right-Back,Javi Moyano,"Feb 23, 1986 (34)",Spain,£585Th.
-,Defensive Midfield,Luismi,"May 5, 1992 (28)",Spain,£428Th.
14,Central Midfield,Rubén Alcaraz,"May 1, 1991 (29)",Spain,£7.20m
16,Central Midfield,Fede San Emeterio,"Mar 16, 1997 (23)",Spain,£2.88m
21,Central Midfield,Míchel,"Jul 29, 1988 (32)",Spain,£1.44m
-,Central Midfield,Anuar,"Jan 15, 1995 (25)",Morocco / Spain,£1.08m
-,Central Midfield,Kike Pérez,"Feb 14, 1997 (23)",Spain,£225Th.
-,Central Midfield,El Hacen,"Dec 31, 1997 (22)",Mauritania,£180Th.
-,Attacking Midfield,Álvaro Aguado,"May 1, 1996 (24)",Spain,£428Th.
19,Left Winger,Toni Villa,"Jan 7, 1995 (25)",Spain,£2.88m
23,Left Winger,Waldo Rubio,"Aug 17, 1995 (25)",Spain,£720Th.
10,Right Winger,Óscar Plano,"Feb 11, 1991 (29)",Spain,£2.88m
-,Right Winger,Fabián Orellana,"Jan 27, 1986 (34)",Chile / Spain,£1.44m
11,Right Winger,Pablo Hervías,"Mar 8, 1993 (27)",Spain,£585Th.
7,Centre-Forward,Sergi Guardiola,"May 29, 1991 (29)",Spain,£4.32m
-,Centre-Forward,Marcos André,"Oct 20, 1996 (23)",Brazil,£585Th.
-,Centre-Forward,Sekou Gassama,"May 6, 1995 (25)",Senegal / Spain,£360Th.
-,Centre-Forward,Chris Ramos,"Jan 18, 1997 (23)",Spain,£225Th.
1,Goalkeeper,Marko Dmitrovic,"Jan 24, 1992 (28)",Serbia,£8.55m
13,Goalkeeper,Yoel Rodríguez,"Aug 28, 1988 (32)",Spain,£1.08m
12,Centre-Back,Paulo Oliveira,"Jan 8, 1992 (28)",Portugal,£4.32m
3,Centre-Back,Pedro Bigas,"May 15, 1990 (30)",Spain,£1.44m
23,Centre-Back,Anaitz Arbilla,"May 15, 1987 (33)",Spain,£1.44m
-,Centre-Back,José Antonio Martínez,"Feb 12, 1993 (27)",Spain,£1.08m
2,Centre-Back,Esteban Burgos,"Jan 9, 1992 (28)",Argentina / Spain,£653Th.
15,Left-Back,José Ángel,"Sep 5, 1989 (30)",Spain,£3.60m
11,Left-Back,Rafa Soares,"May 9, 1995 (25)",Portugal,£2.16m
24,Right-Back,Álvaro Tejero,"Jul 20, 1996 (24)",Spain,£2.16m
20,Right-Back,Roberto Correa,"Sep 20, 1992 (27)",Spain,£428Th.
8,Defensive Midfield,Pape Diop,"Mar 19, 1986 (34)",Senegal / France,£1.08m
10,Central Midfield,Edu Expósito,"Aug 1, 1996 (24)",Spain,£2.88m
6,Central Midfield,Sergio Álvarez,"Jan 23, 1992 (28)",Spain,£1.44m
-,Central Midfield,Roberto Olabe,"May 5, 1996 (24)",Spain,£585Th.
22,Left Winger,Takashi Inui,"Jun 2, 1988 (32)",Japan,£2.16m
-,Right Winger,Damian Kadzior,"Jun 16, 1992 (28)",Poland,£3.15m
21,Right Winger,Pedro León,"Nov 24, 1986 (33)",Spain,£1.26m
9,Centre-Forward,Sergi Enrich,"Feb 26, 1990 (30)",Spain,£2.16m
17,Centre-Forward,Kike García,"Nov 25, 1989 (30)",Spain,£2.16m
7,Centre-Forward,Quique,"May 16, 1990 (30)",Spain,£720Th.
-,Centre-Forward,Asier Benito,"Feb 11, 1995 (25)",Spain,£293Th.
-,Goalkeeper,Jeremías Ledesma,"Feb 13, 1993 (27)",Argentina,£990Th.
-,Goalkeeper,Dani Sotres,"May 21, 1993 (27)",Spain,£225Th.
1,Goalkeeper,Alberto Cifuentes,"May 29, 1979 (41)",Spain,£90Th.
13,Goalkeeper,David Gil,"Jan 11, 1994 (26)",Spain,£90Th.
16,Centre-Back,Juan Cala,"Nov 26, 1989 (30)",Spain,£1.08m
3,Centre-Back,Fali,"Aug 12, 1993 (27)",Spain,£990Th.
4,Centre-Back,Marcos Mauro,"Jan 9, 1991 (29)",Argentina / Spain,£495Th.
19,Centre-Back,Jean-Pierre Rhyner,"Mar 15, 1996 (24)",Peru / Switzerland,£360Th.
22,Left-Back,Alfonso Espino,"Jan 5, 1992 (28)",Uruguay,£1.08m
-,Left-Back,Matos,"May 6, 1995 (25)",Spain,£585Th.
-,Left-Back,Brian Oliván,"Apr 1, 1994 (26)",Spain,£360Th.
2,Left-Back,Luismi Quezada,"Feb 11, 1996 (24)",Dominican Republic / Spain,£293Th.
20,Right-Back,Isaac Carcelén,"Apr 23, 1993 (27)",Spain,£1.80m
-,Right-Back,David Carmona,"Jan 11, 1997 (23)",Spain,£585Th.
15,Right-Back,Carlos Akapo,"Mar 12, 1993 (27)",Equatorial Guinea / Spain,£585Th.
-,Defensive Midfield,Jens Jönsson,"Jan 10, 1993 (27)",Denmark,£1.35m
5,Defensive Midfield,Jon Ander Garrido,"Oct 9, 1989 (30)",Spain,£585Th.
6,Defensive Midfield,José Mari,"Dec 6, 1987 (32)",Spain,£360Th.
34,Defensive Midfield,Sergio González,"May 14, 1997 (23)",Spain,£270Th.
12,Central Midfield,Yann Bodiger,"Feb 9, 1995 (25)",France,£720Th.
17,Central Midfield,Edu Ramos,"Feb 17, 1992 (28)",Spain,£428Th.
25,Central Midfield,Augusto Fernández,"Apr 10, 1986 (34)",Argentina / Spain,£293Th.
8,Attacking Midfield,Álex Fernández,"Oct 15, 1992 (27)",Spain,£4.05m
-,Attacking Midfield,Jorge Pombo,"Feb 22, 1994 (26)",Spain,£630Th.
18,Attacking Midfield,José Manuel Jurado,"Jun 29, 1986 (34)",Spain,£585Th.
10,Left Winger,Alberto Perea,"Dec 19, 1990 (29)",Spain,£720Th.
-,Left Winger,Gaspar Panadero,"Dec 9, 1997 (22)",Spain,£360Th.
-,Left Winger,Christian Martínez,"Feb 6, 1997 (23)",Panama,£270Th.
-,Left Winger,Javi Navarro,"Jan 1, 1997 (23)",Spain,£180Th.
7,Right Winger,Salvi Sánchez,"Mar 30, 1991 (29)",Spain,£1.35m
-,Right Winger,Iván Alejo,"Feb 10, 1995 (25)",Spain,£855Th.
-,Right Winger,Filip Malbasic,"Nov 18, 1992 (27)",Serbia,£585Th.
-,Right Winger,David Querol,"Feb 25, 1989 (31)",Spain,£293Th.
-,Right Winger,David Mayoral,"Apr 5, 1997 (23)",Spain,£225Th.
-,Centre-Forward,Álvaro Negredo,"Aug 20, 1985 (35)",Spain,£1.44m
-,Centre-Forward,Choco Lozano,"Apr 25, 1993 (27)",Honduras,£900Th.
-,Centre-Forward,Álvaro Giménez,"May 19, 1991 (29)",Spain,£720Th.
-,Centre-Forward,Djordje Jovanovic,"Feb 15, 1999 (21)",Serbia,£653Th.
-,Centre-Forward,Dani Romera,"Aug 23, 1995 (25)",Spain,£428Th.
-,Centre-Forward,Nano Mesa,"Feb 5, 1995 (25)",Spain,£428Th.
-,Centre-Forward,Caye Quintana,"Dec 20, 1993 (26)",Spain,£293Th.
1,Goalkeeper,Álvaro Fernández,"Apr 13, 1998 (22)",Spain,£2.70m
13,Goalkeeper,Andrés Fernández,"Dec 17, 1986 (33)",Spain,£720Th.
25,Goalkeeper,Aleksandar Jovanovic,"Dec 6, 1992 (27)",Serbia / Montenegro,£495Th.
30,Goalkeeper,Antonio Valera,"Aug 17, 1996 (24)",Spain,£180Th.
14,Centre-Back,Jorge Pulido,"Apr 8, 1991 (29)",Spain,£2.25m
4,Centre-Back,Pablo Insua,"Sep 9, 1993 (26)",Spain,£855Th.
26,Centre-Back,Kike Hermoso,"Aug 10, 1999 (21)",Spain,£180Th.
11,Left-Back,Javi Galán,"Nov 19, 1994 (25)",Spain,£1.80m
16,Left-Back,Luisinho,"May 5, 1985 (35)",Portugal,£270Th.
19,Right-Back,Pedro López,"Nov 1, 1983 (36)",Spain,£90Th.
5,Central Midfield,Pedro Mosquera,"Apr 21, 1988 (32)",Spain,£720Th.
20,Central Midfield,Jaime Seoane,"Jan 22, 1997 (23)",Spain,£450Th.
17,Central Midfield,Mikel Rico,"Nov 4, 1984 (35)",Spain,£360Th.
8,Attacking Midfield,Eugeni Valderrama,"Jul 19, 1994 (26)",Spain,£900Th.
21,Attacking Midfield,Juan Carlos,"Mar 15, 1991 (29)",Spain,£855Th.
28,Attacking Midfield,Kelechi Nwakali,"Jun 5, 1998 (22)",Nigeria,£270Th.
22,Left Winger,Joaquín Muñoz,"Mar 10, 1999 (21)",Spain,£270Th.
7,Right Winger,David Ferreiro,"Apr 1, 1988 (32)",Spain,£1.08m
-,Second Striker,Jonathan Toro,"Oct 21, 1996 (23)",Honduras,£495Th.
24,Centre-Forward,Rafa Mir,"Jun 18, 1997 (23)",Spain,£4.50m
12,Centre-Forward,Shinji Okazaki,"Apr 16, 1986 (34)",Japan,£1.44m
13,Goalkeeper,Edgar Badia,"Feb 12, 1992 (28)",Spain,£720Th.
12,Centre-Back,Dani Calvo,"Apr 1, 1994 (26)",Spain,£585Th.
5,Centre-Back,Gonzalo Verdú,"Oct 21, 1988 (31)",Spain,£293Th.
24,Centre-Back,Josema,"Jun 6, 1996 (24)",Spain,£270Th.
23,Left-Back,Juan Cruz,"Jul 28, 1992 (28)",Spain,£428Th.
27,Right-Back,Óscar Gil,"Apr 26, 1998 (22)",Spain,£360Th.
21,Defensive Midfield,Omenuke Mfulu,"Mar 20, 1994 (26)",DR Congo / France,£293Th.
4,Central Midfield,Ramón Folch,"Oct 4, 1989 (30)",Spain,£495Th.
-,Central Midfield,Jony Ñiguez,"Apr 2, 1985 (35)",Spain,£180Th.
8,Left Winger,Víctor Rodríguez,"Jul 23, 1989 (31)",Spain,£1.08m
16,Left Winger,Fidel,"Oct 27, 1989 (30)",Spain,£585Th.
11,Left Winger,Pere Milla,"Sep 23, 1992 (27)",Spain,£428Th.
17,Right Winger,Josan,"Dec 3, 1989 (30)",Spain,£360Th.
-,Right Winger,Manu Justo,"Feb 9, 1996 (24)",Spain,£225Th.
-,Centre-Forward,Dani Escriche,"Mar 24, 1998 (22)",Spain,£653Th.
19,Centre-Forward,Claudio Medina,"Sep 4, 1993 (26)",Spain,£270Th.
7,Centre-Forward,Nino,"Jun 10, 1980 (40)",Spain,£90Th.
16,Goalkeeper,Alphonse Areola,"Feb 27, 1993 (27)",France / Philippines,£11.70m
1,Goalkeeper,Keylor Navas,"Dec 15, 1986 (33)",Costa Rica / Spain,£7.20m
30,Goalkeeper,Marcin Bulka,"Oct 4, 1999 (20)",Poland,£810Th.
50,Goalkeeper,Denis Franchi,"Oct 22, 2002 (17)",Italy,£225Th.
40,Goalkeeper,Garissone Innocent,"Apr 16, 2000 (20)",France / Haiti,£135Th.
5,Centre-Back,Marquinhos,"May 14, 1994 (26)",Brazil / Portugal,£46.80m
3,Centre-Back,Presnel Kimpembe,"Aug 13, 1995 (25)",France / DR Congo,£25.20m
22,Centre-Back,Abdou Diallo,"May 4, 1996 (24)",France / Senegal,£25.20m
34,Centre-Back,Loïc Mbe Soh,"Jun 13, 2001 (19)",France / Cameroon,£4.05m
32,Centre-Back,Timothée Pembélé,"Sep 9, 2002 (17)",France / DR Congo,£450Th.
14,Left-Back,Juan Bernat,"Mar 1, 1993 (27)",Spain,£14.40m
20,Left-Back,Layvin Kurzawa,"Sep 4, 1992 (27)",France / Poland,£10.80m
25,Left-Back,Mitchel Bakker,"Jun 20, 2000 (20)",Netherlands,£810Th.
4,Right-Back,Thilo Kehrer,"Sep 21, 1996 (23)",Germany / Burundi,£25.20m
31,Right-Back,Colin Dagba,"Sep 6, 1998 (21)",France / Benin,£14.40m
8,Defensive Midfield,Leandro Paredes,"Jun 29, 1994 (26)",Argentina,£18.00m
6,Central Midfield,Marco Verratti,"Nov 5, 1992 (27)",Italy,£54.00m
27,Central Midfield,Idrissa Gueye,"Sep 26, 1989 (30)",Senegal,£21.60m
21,Central Midfield,Ander Herrera,"Aug 14, 1989 (31)",Spain,£14.40m
36,Central Midfield,Kays Ruiz-Atil,"Aug 26, 2002 (18)",Morocco / France,£225Th.
23,Attacking Midfield,Julian Draxler,"Sep 20, 1993 (26)",Germany,£21.60m
10,Left Winger,Neymar,"Feb 5, 1992 (28)",Brazil,£115.20m
29,Left Winger,Jesé,"Feb 26, 1993 (27)",Spain,£2.88m
11,Right Winger,Ángel Di María,"Feb 14, 1988 (32)",Argentina / Italy,£28.80m
19,Right Winger,Pablo Sarabia,"May 11, 1992 (28)",Spain,£25.20m
7,Centre-Forward,Kylian Mbappé,"Dec 20, 1998 (21)",France,£162.00m
9,Centre-Forward,Mauro Icardi,"Feb 19, 1993 (27)",Argentina / Italy,£54.00m
17,Centre-Forward,Eric Maxim Choupo-Moting,"Mar 23, 1989 (31)",Cameroon / Germany,£3.60m
29,Centre-Forward,Arnaud Kalimuendo,"Jan 20, 2002 (18)",France / DR Congo,£900Th.
1,Goalkeeper,Anthony Lopes,"Oct 1, 1990 (29)",Portugal / France,£15.75m
30,Goalkeeper,Ciprian Tatarusanu,"Feb 9, 1986 (34)",Romania,£1.08m
16,Goalkeeper,Anthony Racioppi,"Dec 31, 1998 (21)",Switzerland,£405Th.
3,Centre-Back,Joachim Andersen,"May 31, 1996 (24)",Denmark,£14.40m
5,Centre-Back,Jason Denayer,"Jun 28, 1995 (25)",Belgium / DR Congo,£10.80m
6,Centre-Back,Marcelo,"May 20, 1987 (33)",Brazil,£2.52m
-,Centre-Back,Cenk Özkacar,"Oct 6, 2000 (19)",Turkey,£1.08m
2,Centre-Back,Sinaly Diomandé,"Apr 9, 2001 (19)",Cote d'Ivoire,
28,Left-Back,Youssouf Koné,"Jul 5, 1995 (25)",Mali,£5.85m
20,Left-Back,Marçal,"Feb 19, 1989 (31)",Brazil,£2.16m
31,Left-Back,Melvin Bard,"Nov 6, 2000 (19)",France,£1.35m
14,Right-Back,Léo Dubois,"Sep 14, 1994 (25)",France,£10.80m
4,Right-Back,Rafael,"Jul 9, 1990 (30)",Brazil / Portugal,£4.95m
23,Right-Back,Kenny Tete,"Oct 9, 1995 (24)",Netherlands / Mozambique,£4.95m
12,Defensive Midfield,Thiago Mendes,"Mar 15, 1992 (28)",Brazil,£14.40m
8,Central Midfield,Houssem Aouar,"Jun 30, 1998 (22)",France / Algeria,£44.55m
39,Central Midfield,Bruno Guimarães,"Nov 16, 1997 (22)",Brazil / Spain,£25.20m
17,Central Midfield,Jeff Reine-Adélaïde,"Jan 17, 1998 (22)",France / Martinique,£20.25m
25,Central Midfield,Maxence Caqueret,"Feb 15, 2000 (20)",France,£6.48m
22,Central Midfield,Jean Lucas,"Jun 22, 1998 (22)",Brazil,£4.05m
15,Central Midfield,Camilo,"Feb 23, 1999 (21)",Brazil / Netherlands,£1.17m
18,Attacking Midfield,Rayan Cherki,"Aug 17, 2003 (17)",France / Algeria,£16.20m
11,Left Winger,Memphis Depay,"Feb 13, 1994 (26)",Netherlands / Ghana,£39.60m
27,Right Winger,Maxwel Cornet,"Sep 27, 1996 (23)",Cote d'Ivoire / France,£9.45m
10,Right Winger,Bertrand Traoré,"Sep 6, 1995 (24)",Burkina Faso,£8.55m
-,Right Winger,Yaya Soumaré,"Jun 23, 2000 (20)",France / Mali,£360Th.
9,Centre-Forward,Moussa Dembélé,"Jul 12, 1996 (24)",France / Mali,£36.00m
7,Centre-Forward,Karl Toko Ekambi,"Sep 14, 1992 (27)",Cameroon / France,£12.60m
24,Centre-Forward,Tino Kadewere,"Jan 5, 1996 (24)",Zimbabwe,£5.85m
-,Centre-Forward,Lenny Pintor,"Aug 5, 2000 (20)",France / Martinique,£3.15m
40,Goalkeeper,Benjamin Lecomte,"Apr 26, 1991 (29)",France,£9.90m
1,Goalkeeper,Radoslaw Majecki,"Nov 16, 1999 (20)",Poland,£4.05m
-,Goalkeeper,Loïc Badiashile,"Feb 5, 1998 (22)",France / DR Congo,£563Th.
32,Centre-Back,Benoît Badiashile,"Mar 26, 2001 (19)",France / DR Congo,£18.00m
20,Centre-Back,Axel Disasi,"Mar 11, 1998 (22)",France / DR Congo,£12.15m
3,Centre-Back,Guillermo Maripán,"May 6, 1994 (26)",Chile,£9.90m
21,Centre-Back,Strahinja Pavlovic,"May 24, 2001 (19)",Serbia,£9.00m
15,Centre-Back,Jean Marcelin,"Feb 12, 2000 (20)",France,£5.67m
5,Centre-Back,Jemerson,"Aug 24, 1992 (28)",Brazil,£4.32m
34,Centre-Back,Chrislain Matsima,"May 15, 2002 (18)",France / Congo,
2,Left-Back,Fodé Ballo-Touré,"Jan 3, 1997 (23)",France / Mali,£5.85m
18,Left-Back,Arthur Zagre,"Oct 4, 2001 (18)",France / Burkina Faso,£5.67m
28,Left-Back,Jorge,"Mar 28, 1996 (24)",Brazil,£2.88m
-,Left-Back,Caio Henrique,"Jul 31, 1997 (23)",Brazil / Spain,£1.08m
-,Right-Back,Djibril Sidibé,"Jul 29, 1992 (28)",France / Mali,£8.55m
26,Right-Back,Ruben Aguilar,"Apr 26, 1993 (27)",France / Spain,£5.85m
41,Right-Back,Giulian Biancone,"Mar 31, 2000 (20)",France,£990Th.
8,Defensive Midfield,Aurélien Tchouaméni,"Jan 27, 2000 (20)",France / Cameroon,£13.95m
6,Defensive Midfield,Jean-Eudes Aholou,"Mar 20, 1994 (26)",Cote d'Ivoire,£3.60m
-,Defensive Midfield,Pelé,"Sep 29, 1991 (28)",Guinea-Bissau / Portugal,£2.52m
22,Central Midfield,Youssouf Fofana,"Jan 10, 1999 (21)",France / Mali,£11.70m
4,Central Midfield,Cesc Fàbregas,"May 4, 1987 (33)",Spain,£5.85m
-,Central Midfield,Youssef Aït Bennasser,"Jul 7, 1996 (24)",Morocco / France,£4.32m
-,Central Midfield,Adama Traoré,"Jun 28, 1995 (25)",Mali,£2.16m
-,Central Midfield,Enzo Millot,"Jul 17, 2002 (18)",France / Martinique,£135Th.
36,Central Midfield,Eliot Matazo,"Feb 15, 2002 (18)",Belgium / DR Congo,
17,Attacking Midfield,Aleksandr Golovin,"May 30, 1996 (24)",Russia,£18.00m
37,Attacking Midfield,Sofiane Diop,"Jun 9, 2000 (20)",France / Senegal,£2.43m
-,Attacking Midfield,Adrien Bongiovanni,"Sep 20, 1999 (20)",Belgium / Italy,£563Th.
14,Left Winger,Keita Baldé,"Mar 8, 1995 (25)",Senegal / Spain,£14.40m
31,Left Winger,Nacer Chadli,"Aug 2, 1989 (31)",Belgium / Morocco,£7.20m
7,Left Winger,Henry Onyekuru,"Jun 5, 1997 (23)",Nigeria,£5.40m
13,Left Winger,Willem Geubbels,"Aug 16, 2001 (19)",France / Netherlands,£4.50m
11,Right Winger,Gelson Martins,"May 11, 1995 (25)",Portugal / Cape Verde,£18.00m
-,Right Winger,Gil Dias,"Sep 28, 1996 (23)",Portugal,£2.88m
-,Right Winger,Samuel Grandsir,"Aug 14, 1996 (24)",France / Senegal,£2.70m
